year,Charline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,5
1898,0
1899,0
1900,0
1901,5
1902,9
1903,9
1904,8
1905,7
1906,8
1907,20
1908,16
1909,13
1910,16
1911,13
1912,21
1913,37
1914,43
1915,56
1916,105
1917,97
1918,101
1919,89
1920,105
1921,104
1922,125
1923,114
1924,127
1925,116
1926,114
1927,154
1928,164
1929,153
1930,137
1931,136
1932,106
1933,117
1934,103
1935,109
1936,92
1937,99
1938,91
1939,85
1940,77
1941,95
1942,98
1943,105
1944,118
1945,83
1946,86
1947,102
1948,91
1949,61
1950,77
1951,79
1952,75
1953,91
1954,81
1955,65
1956,55
1957,49
1958,55
1959,46
1960,35
1961,69
1962,46
1963,55
1964,42
1965,49
1966,45
1967,47
1968,46
1969,62
1970,47
1971,37
1972,46
1973,46
1974,42
1975,29
1976,34
1977,29
1978,30
1979,25
1980,35
1981,40
1982,29
1983,30
1984,23
1985,21
1986,27
1987,30
1988,25
1989,32
1990,28
1991,24
1992,21
1993,20
1994,26
1995,21
1996,15
1997,17
1998,18
1999,16
2000,16
2001,9
2002,10
2003,10
2004,15
2005,13
2006,16
2007,8
2008,11
2009,8
2010,12
2011,8
2012,12
