year,Clarice
1880,9
1881,8
1882,8
1883,10
1884,18
1885,19
1886,19
1887,10
1888,19
1889,30
1890,22
1891,28
1892,32
1893,53
1894,63
1895,51
1896,84
1897,66
1898,69
1899,79
1900,113
1901,107
1902,120
1903,82
1904,98
1905,114
1906,136
1907,138
1908,141
1909,149
1910,182
1911,199
1912,254
1913,324
1914,300
1915,470
1916,484
1917,497
1918,548
1919,542
1920,562
1921,600
1922,533
1923,530
1924,554
1925,600
1926,541
1927,592
1928,575
1929,554
1930,542
1931,513
1932,464
1933,441
1934,445
1935,398
1936,401
1937,372
1938,352
1939,332
1940,309
1941,324
1942,362
1943,274
1944,264
1945,208
1946,246
1947,262
1948,253
1949,255
1950,243
1951,224
1952,277
1953,269
1954,252
1955,248
1956,207
1957,221
1958,217
1959,168
1960,168
1961,135
1962,142
1963,101
1964,119
1965,106
1966,102
1967,87
1968,87
1969,76
1970,79
1971,81
1972,79
1973,74
1974,59
1975,93
1976,142
1977,99
1978,81
1979,82
1980,74
1981,89
1982,102
1983,68
1984,84
1985,64
1986,82
1987,79
1988,83
1989,63
1990,70
1991,88
1992,84
1993,83
1994,66
1995,70
1996,73
1997,79
1998,60
1999,79
2000,70
2001,116
2002,91
2003,75
2004,68
2005,69
2006,49
2007,62
2008,47
2009,39
2010,35
2011,37
2012,36
