year,Corrine
1880,5
1881,9
1882,8
1883,10
1884,8
1885,6
1886,9
1887,12
1888,21
1889,17
1890,25
1891,24
1892,21
1893,34
1894,27
1895,23
1896,36
1897,25
1898,33
1899,29
1900,56
1901,34
1902,40
1903,51
1904,34
1905,48
1906,47
1907,41
1908,60
1909,73
1910,82
1911,76
1912,89
1913,97
1914,144
1915,143
1916,145
1917,173
1918,173
1919,214
1920,244
1921,253
1922,225
1923,236
1924,287
1925,288
1926,357
1927,350
1928,334
1929,318
1930,324
1931,281
1932,267
1933,278
1934,290
1935,259
1936,277
1937,231
1938,236
1939,219
1940,216
1941,180
1942,182
1943,207
1944,210
1945,184
1946,185
1947,196
1948,193
1949,189
1950,207
1951,176
1952,222
1953,200
1954,248
1955,206
1956,210
1957,264
1958,245
1959,211
1960,236
1961,250
1962,242
1963,204
1964,209
1965,179
1966,186
1967,161
1968,155
1969,133
1970,156
1971,140
1972,127
1973,108
1974,141
1975,127
1976,131
1977,159
1978,282
1979,244
1980,212
1981,205
1982,229
1983,180
1984,164
1985,162
1986,142
1987,148
1988,158
1989,188
1990,221
1991,222
1992,193
1993,187
1994,175
1995,165
1996,141
1997,129
1998,137
1999,123
2000,143
2001,142
2002,117
2003,120
2004,92
2005,78
2006,74
2007,95
2008,61
2009,81
2010,97
2011,80
2012,65
