year,Cathleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,8
1897,0
1898,0
1899,8
1900,6
1901,5
1902,18
1903,13
1904,18
1905,11
1906,17
1907,13
1908,7
1909,16
1910,27
1911,23
1912,30
1913,24
1914,28
1915,33
1916,49
1917,41
1918,44
1919,46
1920,51
1921,56
1922,61
1923,78
1924,73
1925,73
1926,73
1927,53
1928,67
1929,56
1930,57
1931,49
1932,70
1933,50
1934,57
1935,61
1936,45
1937,61
1938,64
1939,85
1940,117
1941,136
1942,182
1943,199
1944,286
1945,311
1946,356
1947,568
1948,653
1949,734
1950,759
1951,769
1952,878
1953,821
1954,869
1955,1009
1956,1116
1957,1071
1958,1156
1959,1017
1960,951
1961,929
1962,850
1963,820
1964,1012
1965,885
1966,831
1967,733
1968,612
1969,670
1970,636
1971,534
1972,427
1973,368
1974,318
1975,261
1976,214
1977,270
1978,220
1979,215
1980,186
1981,197
1982,202
1983,178
1984,177
1985,189
1986,178
1987,162
1988,151
1989,140
1990,129
1991,125
1992,115
1993,109
1994,115
1995,72
1996,77
1997,75
1998,65
1999,74
2000,56
2001,52
2002,52
2003,43
2004,43
2005,42
2006,38
2007,45
2008,44
2009,46
2010,20
2011,29
2012,16
