year,Cornelia
1880,94
1881,66
1882,91
1883,116
1884,94
1885,98
1886,117
1887,112
1888,116
1889,116
1890,123
1891,129
1892,123
1893,148
1894,135
1895,127
1896,130
1897,141
1898,154
1899,122
1900,200
1901,137
1902,179
1903,148
1904,138
1905,165
1906,153
1907,169
1908,164
1909,176
1910,202
1911,213
1912,254
1913,287
1914,352
1915,394
1916,465
1917,425
1918,424
1919,440
1920,453
1921,477
1922,453
1923,386
1924,405
1925,405
1926,354
1927,381
1928,312
1929,338
1930,329
1931,280
1932,266
1933,256
1934,278
1935,263
1936,254
1937,256
1938,281
1939,274
1940,251
1941,268
1942,263
1943,288
1944,255
1945,242
1946,219
1947,267
1948,238
1949,216
1950,207
1951,192
1952,212
1953,175
1954,192
1955,176
1956,167
1957,167
1958,152
1959,172
1960,168
1961,154
1962,191
1963,163
1964,123
1965,116
1966,105
1967,81
1968,100
1969,108
1970,86
1971,86
1972,91
1973,69
1974,78
1975,56
1976,62
1977,52
1978,60
1979,56
1980,51
1981,57
1982,49
1983,50
1984,51
1985,45
1986,46
1987,50
1988,66
1989,59
1990,36
1991,59
1992,41
1993,35
1994,24
1995,33
1996,25
1997,17
1998,23
1999,27
2000,26
2001,22
2002,25
2003,24
2004,15
2005,23
2006,23
2007,16
2008,31
2009,21
2010,24
2011,18
2012,18
