year,Carie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,0
1896,6
1897,0
1898,6
1899,6
1900,9
1901,7
1902,6
1903,7
1904,0
1905,6
1906,8
1907,6
1908,9
1909,5
1910,5
1911,7
1912,0
1913,6
1914,6
1915,5
1916,10
1917,11
1918,10
1919,6
1920,6
1921,7
1922,7
1923,8
1924,11
1925,12
1926,9
1927,9
1928,6
1929,6
1930,6
1931,9
1932,0
1933,8
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,9
1950,5
1951,6
1952,5
1953,11
1954,13
1955,9
1956,26
1957,14
1958,31
1959,41
1960,49
1961,67
1962,90
1963,60
1964,74
1965,86
1966,72
1967,107
1968,153
1969,115
1970,157
1971,199
1972,188
1973,214
1974,255
1975,304
1976,313
1977,225
1978,169
1979,134
1980,123
1981,102
1982,95
1983,81
1984,62
1985,64
1986,58
1987,45
1988,38
1989,32
1990,36
1991,18
1992,20
1993,23
1994,18
1995,17
1996,24
1997,13
1998,15
1999,13
2000,8
2001,0
2002,5
2003,5
2004,0
2005,0
2006,6
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
