year,Carlie
1880,0
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,7
1889,13
1890,11
1891,11
1892,5
1893,13
1894,8
1895,16
1896,0
1897,0
1898,12
1899,6
1900,15
1901,5
1902,0
1903,7
1904,5
1905,15
1906,6
1907,15
1908,14
1909,12
1910,14
1911,15
1912,18
1913,25
1914,31
1915,31
1916,32
1917,34
1918,50
1919,47
1920,43
1921,36
1922,35
1923,32
1924,43
1925,49
1926,48
1927,32
1928,41
1929,30
1930,47
1931,34
1932,37
1933,33
1934,33
1935,39
1936,34
1937,33
1938,41
1939,31
1940,27
1941,30
1942,46
1943,33
1944,37
1945,35
1946,35
1947,47
1948,30
1949,22
1950,12
1951,34
1952,30
1953,33
1954,31
1955,28
1956,27
1957,23
1958,24
1959,19
1960,12
1961,22
1962,22
1963,20
1964,18
1965,6
1966,13
1967,8
1968,14
1969,17
1970,26
1971,23
1972,29
1973,37
1974,62
1975,50
1976,55
1977,62
1978,67
1979,68
1980,79
1981,103
1982,120
1983,128
1984,161
1985,169
1986,144
1987,145
1988,183
1989,186
1990,212
1991,354
1992,374
1993,419
1994,431
1995,453
1996,491
1997,491
1998,554
1999,501
2000,546
2001,515
2002,471
2003,494
2004,592
2005,532
2006,487
2007,482
2008,454
2009,404
2010,352
2011,310
2012,292
