year,Carlotta
1880,6
1881,8
1882,8
1883,8
1884,12
1885,5
1886,5
1887,9
1888,0
1889,8
1890,0
1891,6
1892,8
1893,6
1894,15
1895,8
1896,12
1897,12
1898,7
1899,7
1900,12
1901,6
1902,0
1903,7
1904,11
1905,11
1906,6
1907,11
1908,10
1909,13
1910,16
1911,14
1912,17
1913,27
1914,16
1915,22
1916,30
1917,30
1918,33
1919,39
1920,35
1921,31
1922,31
1923,28
1924,31
1925,34
1926,28
1927,38
1928,32
1929,33
1930,31
1931,26
1932,31
1933,33
1934,45
1935,35
1936,56
1937,41
1938,39
1939,63
1940,53
1941,53
1942,117
1943,113
1944,91
1945,67
1946,71
1947,189
1948,255
1949,218
1950,179
1951,160
1952,123
1953,136
1954,123
1955,128
1956,97
1957,118
1958,112
1959,109
1960,117
1961,94
1962,87
1963,98
1964,92
1965,61
1966,83
1967,89
1968,82
1969,69
1970,108
1971,115
1972,92
1973,96
1974,72
1975,97
1976,52
1977,52
1978,53
1979,50
1980,47
1981,42
1982,45
1983,35
1984,32
1985,48
1986,24
1987,28
1988,27
1989,36
1990,28
1991,29
1992,36
1993,27
1994,17
1995,15
1996,18
1997,16
1998,20
1999,6
2000,16
2001,14
2002,10
2003,19
2004,14
2005,8
2006,14
2007,10
2008,17
2009,6
2010,12
2011,20
2012,11
