year,Cecile
1880,17
1881,24
1882,27
1883,35
1884,29
1885,32
1886,43
1887,34
1888,81
1889,67
1890,71
1891,79
1892,92
1893,86
1894,102
1895,109
1896,144
1897,121
1898,172
1899,147
1900,175
1901,133
1902,181
1903,159
1904,173
1905,161
1906,163
1907,156
1908,155
1909,186
1910,187
1911,184
1912,275
1913,282
1914,351
1915,473
1916,417
1917,482
1918,503
1919,484
1920,489
1921,475
1922,429
1923,485
1924,429
1925,421
1926,386
1927,377
1928,339
1929,312
1930,304
1931,267
1932,242
1933,212
1934,216
1935,275
1936,363
1937,364
1938,324
1939,332
1940,310
1941,243
1942,287
1943,280
1944,213
1945,199
1946,230
1947,234
1948,215
1949,194
1950,196
1951,184
1952,209
1953,194
1954,163
1955,159
1956,165
1957,186
1958,185
1959,172
1960,140
1961,135
1962,124
1963,119
1964,78
1965,76
1966,53
1967,61
1968,53
1969,56
1970,51
1971,36
1972,37
1973,35
1974,29
1975,38
1976,26
1977,29
1978,21
1979,30
1980,51
1981,45
1982,44
1983,35
1984,49
1985,36
1986,20
1987,34
1988,32
1989,54
1990,43
1991,37
1992,31
1993,30
1994,34
1995,26
1996,28
1997,20
1998,25
1999,21
2000,20
2001,29
2002,22
2003,31
2004,28
2005,23
2006,30
2007,30
2008,23
2009,26
2010,21
2011,25
2012,29
