year,Concetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,9
1892,5
1893,5
1894,10
1895,11
1896,26
1897,17
1898,16
1899,20
1900,20
1901,25
1902,33
1903,32
1904,35
1905,56
1906,64
1907,66
1908,73
1909,82
1910,94
1911,138
1912,153
1913,204
1914,306
1915,356
1916,355
1917,361
1918,396
1919,385
1920,414
1921,428
1922,455
1923,449
1924,468
1925,421
1926,428
1927,366
1928,361
1929,314
1930,327
1931,283
1932,268
1933,221
1934,170
1935,189
1936,166
1937,159
1938,147
1939,157
1940,154
1941,124
1942,183
1943,159
1944,122
1945,141
1946,109
1947,145
1948,146
1949,166
1950,132
1951,141
1952,115
1953,138
1954,128
1955,110
1956,90
1957,83
1958,111
1959,79
1960,83
1961,85
1962,97
1963,101
1964,86
1965,67
1966,85
1967,65
1968,71
1969,51
1970,72
1971,58
1972,40
1973,43
1974,37
1975,41
1976,49
1977,50
1978,35
1979,28
1980,35
1981,41
1982,32
1983,26
1984,27
1985,27
1986,31
1987,93
1988,42
1989,32
1990,25
1991,25
1992,8
1993,19
1994,16
1995,14
1996,17
1997,18
1998,16
1999,14
2000,13
2001,10
2002,12
2003,13
2004,9
2005,9
2006,11
2007,14
2008,6
2009,9
2010,14
2011,9
2012,5
