year,Camilla
1880,6
1881,11
1882,12
1883,12
1884,16
1885,15
1886,14
1887,18
1888,15
1889,14
1890,22
1891,19
1892,21
1893,21
1894,24
1895,30
1896,29
1897,22
1898,31
1899,36
1900,40
1901,26
1902,23
1903,34
1904,34
1905,37
1906,32
1907,46
1908,28
1909,43
1910,46
1911,41
1912,70
1913,74
1914,88
1915,130
1916,135
1917,116
1918,176
1919,121
1920,132
1921,134
1922,139
1923,147
1924,138
1925,123
1926,107
1927,103
1928,129
1929,125
1930,114
1931,110
1932,113
1933,111
1934,83
1935,107
1936,97
1937,114
1938,107
1939,127
1940,123
1941,127
1942,127
1943,124
1944,219
1945,126
1946,144
1947,147
1948,159
1949,145
1950,155
1951,139
1952,134
1953,123
1954,143
1955,156
1956,125
1957,110
1958,132
1959,138
1960,152
1961,158
1962,141
1963,166
1964,173
1965,159
1966,145
1967,162
1968,138
1969,175
1970,153
1971,125
1972,134
1973,128
1974,123
1975,103
1976,112
1977,95
1978,140
1979,117
1980,102
1981,128
1982,123
1983,130
1984,100
1985,119
1986,110
1987,130
1988,125
1989,116
1990,105
1991,116
1992,127
1993,145
1994,132
1995,154
1996,141
1997,165
1998,166
1999,152
2000,166
2001,226
2002,212
2003,271
2004,265
2005,290
2006,329
2007,399
2008,485
2009,552
2010,589
2011,648
2012,707
