year,Corrie
1880,9
1881,9
1882,16
1883,19
1884,18
1885,22
1886,15
1887,11
1888,24
1889,21
1890,31
1891,23
1892,27
1893,29
1894,19
1895,34
1896,28
1897,31
1898,27
1899,26
1900,24
1901,17
1902,28
1903,18
1904,30
1905,20
1906,24
1907,25
1908,20
1909,26
1910,35
1911,23
1912,42
1913,36
1914,41
1915,35
1916,55
1917,47
1918,62
1919,61
1920,51
1921,57
1922,62
1923,46
1924,53
1925,45
1926,40
1927,33
1928,30
1929,23
1930,30
1931,26
1932,25
1933,31
1934,37
1935,26
1936,29
1937,45
1938,28
1939,22
1940,24
1941,22
1942,24
1943,28
1944,18
1945,21
1946,31
1947,17
1948,26
1949,10
1950,24
1951,12
1952,28
1953,26
1954,31
1955,45
1956,38
1957,28
1958,39
1959,37
1960,33
1961,38
1962,50
1963,48
1964,58
1965,46
1966,55
1967,51
1968,73
1969,110
1970,143
1971,148
1972,172
1973,179
1974,241
1975,258
1976,370
1977,386
1978,356
1979,311
1980,246
1981,266
1982,260
1983,216
1984,225
1985,223
1986,227
1987,158
1988,152
1989,171
1990,150
1991,151
1992,148
1993,131
1994,120
1995,109
1996,84
1997,87
1998,90
1999,79
2000,58
2001,61
2002,42
2003,46
2004,61
2005,37
2006,31
2007,33
2008,36
2009,42
2010,30
2011,20
2012,31
