year,Corinne
1880,33
1881,25
1882,33
1883,20
1884,39
1885,35
1886,33
1887,42
1888,69
1889,68
1890,102
1891,76
1892,94
1893,89
1894,99
1895,108
1896,102
1897,96
1898,124
1899,103
1900,122
1901,126
1902,119
1903,118
1904,127
1905,139
1906,125
1907,119
1908,154
1909,152
1910,146
1911,185
1912,239
1913,223
1914,279
1915,323
1916,332
1917,339
1918,370
1919,340
1920,390
1921,393
1922,372
1923,372
1924,631
1925,593
1926,689
1927,605
1928,582
1929,531
1930,444
1931,384
1932,326
1933,340
1934,348
1935,291
1936,265
1937,290
1938,256
1939,289
1940,234
1941,210
1942,299
1943,300
1944,236
1945,231
1946,309
1947,382
1948,340
1949,370
1950,510
1951,440
1952,583
1953,521
1954,572
1955,556
1956,512
1957,537
1958,477
1959,475
1960,553
1961,572
1962,596
1963,508
1964,480
1965,405
1966,399
1967,325
1968,351
1969,363
1970,339
1971,329
1972,308
1973,299
1974,283
1975,263
1976,284
1977,397
1978,847
1979,793
1980,663
1981,607
1982,588
1983,511
1984,502
1985,440
1986,460
1987,406
1988,446
1989,552
1990,642
1991,772
1992,655
1993,611
1994,507
1995,462
1996,389
1997,348
1998,400
1999,418
2000,476
2001,434
2002,385
2003,390
2004,351
2005,328
2006,326
2007,433
2008,336
2009,376
2010,381
2011,340
2012,360
