year,Coralie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,5
1896,0
1897,6
1898,0
1899,0
1900,6
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,5
1911,7
1912,7
1913,8
1914,8
1915,15
1916,15
1917,7
1918,10
1919,19
1920,18
1921,19
1922,20
1923,13
1924,29
1925,13
1926,18
1927,32
1928,49
1929,64
1930,38
1931,38
1932,28
1933,34
1934,30
1935,40
1936,36
1937,34
1938,31
1939,36
1940,34
1941,30
1942,46
1943,35
1944,24
1945,30
1946,29
1947,26
1948,33
1949,22
1950,19
1951,22
1952,22
1953,18
1954,17
1955,17
1956,13
1957,10
1958,16
1959,10
1960,17
1961,10
1962,13
1963,12
1964,13
1965,11
1966,13
1967,10
1968,12
1969,9
1970,13
1971,10
1972,6
1973,7
1974,0
1975,6
1976,8
1977,10
1978,5
1979,8
1980,6
1981,8
1982,6
1983,8
1984,9
1985,0
1986,9
1987,0
1988,8
1989,10
1990,8
1991,10
1992,7
1993,10
1994,10
1995,5
1996,6
1997,10
1998,14
1999,8
2000,12
2001,8
2002,13
2003,12
2004,12
2005,20
2006,13
2007,16
2008,22
2009,28
2010,30
2011,38
2012,65
