year,Carrol
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,6
1893,0
1894,5
1895,5
1896,7
1897,0
1898,6
1899,0
1900,0
1901,6
1902,9
1903,8
1904,0
1905,7
1906,13
1907,18
1908,15
1909,18
1910,24
1911,13
1912,46
1913,53
1914,82
1915,107
1916,129
1917,125
1918,134
1919,142
1920,165
1921,162
1922,168
1923,168
1924,190
1925,187
1926,161
1927,197
1928,196
1929,247
1930,236
1931,234
1932,228
1933,233
1934,264
1935,257
1936,265
1937,289
1938,310
1939,306
1940,324
1941,305
1942,267
1943,352
1944,279
1945,282
1946,261
1947,291
1948,225
1949,175
1950,179
1951,147
1952,134
1953,118
1954,115
1955,91
1956,89
1957,91
1958,105
1959,83
1960,73
1961,72
1962,71
1963,65
1964,49
1965,63
1966,34
1967,47
1968,46
1969,50
1970,38
1971,39
1972,24
1973,24
1974,30
1975,23
1976,26
1977,21
1978,18
1979,13
1980,13
1981,21
1982,16
1983,16
1984,0
1985,7
1986,0
1987,6
1988,11
1989,15
1990,11
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
