year,Cecila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,7
1914,0
1915,5
1916,7
1917,6
1918,5
1919,13
1920,8
1921,9
1922,11
1923,7
1924,11
1925,7
1926,9
1927,7
1928,6
1929,6
1930,6
1931,7
1932,0
1933,0
1934,0
1935,0
1936,5
1937,8
1938,8
1939,0
1940,6
1941,0
1942,5
1943,0
1944,8
1945,5
1946,10
1947,0
1948,12
1949,0
1950,0
1951,9
1952,8
1953,11
1954,5
1955,8
1956,8
1957,9
1958,12
1959,15
1960,6
1961,10
1962,14
1963,7
1964,8
1965,13
1966,9
1967,0
1968,16
1969,8
1970,18
1971,15
1972,12
1973,15
1974,14
1975,9
1976,10
1977,6
1978,12
1979,12
1980,13
1981,12
1982,13
1983,12
1984,9
1985,12
1986,8
1987,12
1988,16
1989,16
1990,16
1991,8
1992,10
1993,12
1994,9
1995,13
1996,6
1997,10
1998,0
1999,12
2000,11
2001,9
2002,5
2003,0
2004,0
2005,0
2006,6
2007,5
2008,0
2009,7
2010,0
2011,8
2012,7
