year,Carmine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,5
1895,0
1896,0
1897,5
1898,0
1899,5
1900,10
1901,6
1902,7
1903,14
1904,14
1905,19
1906,14
1907,25
1908,18
1909,26
1910,23
1911,50
1912,105
1913,119
1914,145
1915,179
1916,192
1917,172
1918,203
1919,207
1920,226
1921,227
1922,237
1923,229
1924,226
1925,222
1926,205
1927,227
1928,221
1929,190
1930,206
1931,199
1932,176
1933,136
1934,151
1935,145
1936,138
1937,121
1938,148
1939,119
1940,105
1941,137
1942,127
1943,139
1944,117
1945,94
1946,130
1947,124
1948,130
1949,132
1950,131
1951,138
1952,116
1953,130
1954,118
1955,125
1956,137
1957,128
1958,128
1959,121
1960,132
1961,134
1962,120
1963,142
1964,122
1965,102
1966,112
1967,115
1968,103
1969,86
1970,112
1971,95
1972,66
1973,91
1974,59
1975,69
1976,70
1977,75
1978,54
1979,75
1980,70
1981,49
1982,64
1983,60
1984,58
1985,56
1986,57
1987,60
1988,62
1989,49
1990,51
1991,44
1992,43
1993,45
1994,48
1995,53
1996,48
1997,35
1998,44
1999,43
2000,38
2001,44
2002,36
2003,47
2004,63
2005,205
2006,266
2007,212
2008,172
2009,168
2010,137
2011,145
2012,126
