year,Chrissie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,8
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,7
1910,0
1911,0
1912,0
1913,0
1914,5
1915,7
1916,5
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,5
1924,0
1925,7
1926,8
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,0
1949,0
1950,5
1951,5
1952,0
1953,0
1954,8
1955,8
1956,5
1957,8
1958,17
1959,14
1960,12
1961,11
1962,23
1963,23
1964,13
1965,19
1966,18
1967,21
1968,15
1969,18
1970,24
1971,22
1972,15
1973,16
1974,28
1975,32
1976,24
1977,40
1978,74
1979,75
1980,59
1981,42
1982,32
1983,31
1984,35
1985,14
1986,13
1987,21
1988,21
1989,19
1990,11
1991,10
1992,7
1993,9
1994,8
1995,5
1996,0
1997,7
1998,5
1999,8
2000,0
2001,0
2002,0
2003,0
2004,0
2005,7
2006,0
2007,7
2008,7
2009,6
2010,0
2011,5
2012,9
