year,Cecille
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,10
1899,8
1900,5
1901,7
1902,6
1903,6
1904,10
1905,8
1906,6
1907,9
1908,7
1909,6
1910,10
1911,5
1912,11
1913,7
1914,11
1915,18
1916,16
1917,21
1918,22
1919,18
1920,19
1921,19
1922,21
1923,23
1924,19
1925,19
1926,17
1927,18
1928,16
1929,6
1930,10
1931,11
1932,5
1933,9
1934,9
1935,12
1936,16
1937,15
1938,16
1939,18
1940,15
1941,12
1942,26
1943,17
1944,10
1945,11
1946,13
1947,9
1948,14
1949,23
1950,15
1951,9
1952,16
1953,15
1954,9
1955,6
1956,8
1957,9
1958,8
1959,7
1960,6
1961,7
1962,0
1963,7
1964,0
1965,0
1966,0
1967,6
1968,0
1969,0
1970,5
1971,5
1972,6
1973,5
1974,0
1975,0
1976,0
1977,7
1978,0
1979,8
1980,8
1981,8
1982,7
1983,7
1984,5
1985,8
1986,0
1987,0
1988,0
1989,5
1990,7
1991,12
1992,6
1993,0
1994,7
1995,7
1996,0
1997,0
1998,0
1999,0
2000,6
2001,6
2002,5
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,7
