year,Carlee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,6
1912,14
1913,6
1914,0
1915,16
1916,9
1917,19
1918,23
1919,16
1920,22
1921,26
1922,21
1923,18
1924,24
1925,19
1926,22
1927,9
1928,22
1929,22
1930,24
1931,19
1932,30
1933,18
1934,19
1935,18
1936,12
1937,12
1938,18
1939,9
1940,15
1941,13
1942,13
1943,23
1944,19
1945,10
1946,14
1947,13
1948,18
1949,15
1950,17
1951,8
1952,12
1953,6
1954,20
1955,11
1956,16
1957,5
1958,6
1959,6
1960,9
1961,13
1962,12
1963,16
1964,8
1965,7
1966,13
1967,6
1968,8
1969,9
1970,8
1971,7
1972,16
1973,33
1974,39
1975,27
1976,41
1977,32
1978,38
1979,36
1980,53
1981,54
1982,89
1983,68
1984,92
1985,106
1986,94
1987,109
1988,113
1989,142
1990,144
1991,222
1992,297
1993,294
1994,288
1995,302
1996,326
1997,377
1998,392
1999,361
2000,407
2001,362
2002,392
2003,390
2004,432
2005,459
2006,442
2007,444
2008,434
2009,464
2010,359
2011,368
2012,363
