year,Camella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,6
1912,7
1913,7
1914,15
1915,12
1916,10
1917,8
1918,18
1919,15
1920,16
1921,11
1922,6
1923,10
1924,18
1925,16
1926,16
1927,17
1928,14
1929,14
1930,0
1931,8
1932,5
1933,0
1934,8
1935,5
1936,6
1937,6
1938,8
1939,5
1940,9
1941,5
1942,7
1943,12
1944,12
1945,8
1946,8
1947,16
1948,9
1949,13
1950,10
1951,16
1952,10
1953,11
1954,8
1955,12
1956,14
1957,11
1958,12
1959,13
1960,23
1961,15
1962,13
1963,19
1964,17
1965,17
1966,15
1967,16
1968,15
1969,20
1970,16
1971,12
1972,15
1973,13
1974,17
1975,9
1976,11
1977,5
1978,14
1979,18
1980,9
1981,13
1982,15
1983,16
1984,11
1985,9
1986,10
1987,10
1988,12
1989,9
1990,8
1991,6
1992,6
1993,6
1994,0
1995,0
1996,6
1997,0
1998,6
1999,10
2000,0
2001,0
2002,9
2003,10
2004,7
2005,7
2006,6
2007,10
2008,7
2009,8
2010,11
2011,15
2012,7
