year,Chesley
1880,5
1881,7
1882,6
1883,0
1884,6
1885,6
1886,6
1887,0
1888,5
1889,5
1890,7
1891,6
1892,0
1893,5
1894,11
1895,0
1896,8
1897,8
1898,9
1899,7
1900,0
1901,7
1902,10
1903,7
1904,6
1905,9
1906,6
1907,9
1908,5
1909,7
1910,12
1911,0
1912,10
1913,11
1914,29
1915,36
1916,32
1917,35
1918,42
1919,34
1920,42
1921,41
1922,37
1923,48
1924,39
1925,34
1926,31
1927,35
1928,37
1929,39
1930,44
1931,20
1932,25
1933,22
1934,32
1935,29
1936,21
1937,28
1938,26
1939,23
1940,32
1941,16
1942,25
1943,36
1944,32
1945,29
1946,29
1947,21
1948,19
1949,24
1950,20
1951,23
1952,21
1953,28
1954,30
1955,14
1956,19
1957,19
1958,17
1959,27
1960,19
1961,15
1962,22
1963,18
1964,15
1965,17
1966,16
1967,23
1968,9
1969,15
1970,19
1971,24
1972,13
1973,6
1974,18
1975,26
1976,25
1977,24
1978,43
1979,33
1980,40
1981,29
1982,33
1983,45
1984,34
1985,35
1986,27
1987,29
1988,37
1989,48
1990,41
1991,32
1992,32
1993,29
1994,33
1995,37
1996,21
1997,24
1998,24
1999,15
2000,20
2001,18
2002,16
2003,11
2004,13
2005,24
2006,10
2007,5
2008,8
2009,20
2010,13
2011,6
2012,20
