year,Carole
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,13
1910,9
1911,10
1912,25
1913,31
1914,44
1915,50
1916,67
1917,82
1918,92
1919,82
1920,102
1921,144
1922,159
1923,184
1924,204
1925,218
1926,204
1927,213
1928,248
1929,326
1930,425
1931,852
1932,1321
1933,2161
1934,2664
1935,2696
1936,3210
1937,4216
1938,4627
1939,4691
1940,4810
1941,4986
1942,8440
1943,6534
1944,6286
1945,4855
1946,4636
1947,3834
1948,3319
1949,2762
1950,2217
1951,1957
1952,1837
1953,1632
1954,1506
1955,1428
1956,1418
1957,1612
1958,1510
1959,1416
1960,1689
1961,1685
1962,1381
1963,1151
1964,1164
1965,896
1966,754
1967,703
1968,613
1969,532
1970,423
1971,347
1972,289
1973,220
1974,192
1975,188
1976,140
1977,150
1978,132
1979,128
1980,112
1981,118
1982,99
1983,107
1984,94
1985,94
1986,70
1987,90
1988,87
1989,65
1990,92
1991,81
1992,48
1993,51
1994,56
1995,43
1996,48
1997,44
1998,29
1999,30
2000,24
2001,26
2002,30
2003,36
2004,20
2005,21
2006,17
2007,8
2008,16
2009,12
2010,10
2011,5
2012,6
