year,Carolina
1880,13
1881,10
1882,10
1883,20
1884,13
1885,18
1886,25
1887,19
1888,24
1889,27
1890,23
1891,21
1892,28
1893,24
1894,34
1895,35
1896,28
1897,17
1898,24
1899,15
1900,40
1901,37
1902,31
1903,32
1904,44
1905,30
1906,44
1907,33
1908,45
1909,39
1910,43
1911,56
1912,63
1913,58
1914,77
1915,100
1916,111
1917,102
1918,98
1919,109
1920,132
1921,137
1922,118
1923,128
1924,149
1925,144
1926,120
1927,125
1928,145
1929,159
1930,132
1931,110
1932,112
1933,117
1934,104
1935,103
1936,94
1937,107
1938,101
1939,95
1940,78
1941,103
1942,81
1943,131
1944,130
1945,114
1946,119
1947,128
1948,113
1949,115
1950,103
1951,113
1952,108
1953,127
1954,109
1955,102
1956,107
1957,126
1958,104
1959,101
1960,143
1961,167
1962,171
1963,173
1964,227
1965,195
1966,192
1967,160
1968,184
1969,173
1970,213
1971,188
1972,165
1973,227
1974,199
1975,245
1976,247
1977,268
1978,396
1979,444
1980,458
1981,438
1982,406
1983,426
1984,376
1985,411
1986,472
1987,488
1988,523
1989,807
1990,915
1991,866
1992,916
1993,954
1994,1051
1995,994
1996,1058
1997,1072
1998,1010
1999,1034
2000,1204
2001,1204
2002,1072
2003,1215
2004,1268
2005,1132
2006,1196
2007,1018
2008,925
2009,828
2010,820
2011,728
2012,721
