year,Celesta
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,6
1889,9
1890,5
1891,10
1892,6
1893,6
1894,10
1895,9
1896,11
1897,0
1898,9
1899,0
1900,15
1901,11
1902,11
1903,12
1904,17
1905,9
1906,9
1907,14
1908,10
1909,13
1910,5
1911,7
1912,14
1913,18
1914,31
1915,39
1916,40
1917,31
1918,42
1919,32
1920,33
1921,47
1922,37
1923,28
1924,33
1925,44
1926,31
1927,33
1928,33
1929,28
1930,20
1931,18
1932,21
1933,23
1934,18
1935,26
1936,19
1937,21
1938,16
1939,17
1940,22
1941,17
1942,12
1943,12
1944,11
1945,11
1946,20
1947,28
1948,23
1949,21
1950,21
1951,19
1952,29
1953,23
1954,23
1955,27
1956,14
1957,25
1958,17
1959,30
1960,23
1961,14
1962,18
1963,21
1964,23
1965,15
1966,15
1967,18
1968,11
1969,17
1970,22
1971,16
1972,18
1973,21
1974,27
1975,24
1976,12
1977,19
1978,15
1979,17
1980,15
1981,9
1982,15
1983,21
1984,12
1985,8
1986,9
1987,10
1988,11
1989,14
1990,0
1991,13
1992,22
1993,8
1994,9
1995,8
1996,12
1997,10
1998,7
1999,5
2000,8
2001,13
2002,6
2003,10
2004,0
2005,10
2006,13
2007,0
2008,7
2009,0
2010,0
2011,0
2012,0
