year,Cara
1880,0
1881,0
1882,5
1883,6
1884,8
1885,12
1886,6
1887,10
1888,9
1889,7
1890,7
1891,11
1892,7
1893,0
1894,8
1895,12
1896,8
1897,11
1898,16
1899,11
1900,17
1901,7
1902,11
1903,9
1904,11
1905,7
1906,11
1907,16
1908,12
1909,12
1910,19
1911,12
1912,16
1913,21
1914,19
1915,30
1916,27
1917,23
1918,33
1919,19
1920,18
1921,21
1922,34
1923,33
1924,30
1925,27
1926,43
1927,25
1928,20
1929,30
1930,28
1931,15
1932,28
1933,22
1934,37
1935,27
1936,39
1937,45
1938,38
1939,26
1940,36
1941,44
1942,48
1943,54
1944,41
1945,46
1946,47
1947,53
1948,51
1949,72
1950,70
1951,84
1952,88
1953,100
1954,124
1955,154
1956,172
1957,165
1958,134
1959,200
1960,234
1961,340
1962,448
1963,683
1964,664
1965,987
1966,677
1967,604
1968,508
1969,636
1970,716
1971,755
1972,721
1973,851
1974,1073
1975,1194
1976,1109
1977,1416
1978,1346
1979,1253
1980,1276
1981,1266
1982,1334
1983,1393
1984,1439
1985,1469
1986,1337
1987,1239
1988,1270
1989,1285
1990,1210
1991,1259
1992,1130
1993,1105
1994,1025
1995,900
1996,861
1997,817
1998,807
1999,728
2000,732
2001,604
2002,584
2003,568
2004,570
2005,521
2006,529
2007,579
2008,679
2009,661
2010,460
2011,471
2012,402
