year,Ceaser
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,5
1908,5
1909,7
1910,0
1911,0
1912,9
1913,9
1914,0
1915,0
1916,10
1917,11
1918,14
1919,8
1920,5
1921,0
1922,9
1923,7
1924,9
1925,10
1926,0
1927,11
1928,7
1929,13
1930,12
1931,5
1932,6
1933,7
1934,7
1935,8
1936,8
1937,8
1938,6
1939,0
1940,0
1941,8
1942,5
1943,11
1944,9
1945,8
1946,0
1947,8
1948,8
1949,14
1950,0
1951,10
1952,7
1953,0
1954,7
1955,7
1956,0
1957,15
1958,6
1959,11
1960,0
1961,9
1962,0
1963,5
1964,7
1965,5
1966,11
1967,7
1968,9
1969,8
1970,7
1971,8
1972,11
1973,5
1974,9
1975,10
1976,7
1977,5
1978,8
1979,10
1980,10
1981,8
1982,5
1983,0
1984,0
1985,7
1986,5
1987,7
1988,11
1989,7
1990,8
1991,12
1992,9
1993,0
1994,8
1995,17
1996,0
1997,8
1998,15
1999,11
2000,7
2001,10
2002,13
2003,10
2004,11
2005,17
2006,15
2007,13
2008,12
2009,7
2010,6
2011,7
2012,8
