year,Carmelina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,6
1913,9
1914,16
1915,26
1916,18
1917,25
1918,23
1919,22
1920,23
1921,30
1922,32
1923,36
1924,29
1925,28
1926,39
1927,23
1928,25
1929,22
1930,22
1931,12
1932,14
1933,6
1934,15
1935,13
1936,8
1937,14
1938,8
1939,8
1940,6
1941,0
1942,6
1943,0
1944,5
1945,7
1946,0
1947,0
1948,7
1949,12
1950,6
1951,5
1952,6
1953,0
1954,9
1955,12
1956,12
1957,10
1958,10
1959,7
1960,10
1961,8
1962,17
1963,14
1964,14
1965,18
1966,12
1967,12
1968,17
1969,29
1970,16
1971,14
1972,18
1973,10
1974,15
1975,10
1976,9
1977,13
1978,10
1979,17
1980,14
1981,12
1982,10
1983,9
1984,12
1985,10
1986,8
1987,9
1988,8
1989,14
1990,10
1991,14
1992,9
1993,6
1994,0
1995,0
1996,0
1997,11
1998,9
1999,11
2000,8
2001,13
2002,7
2003,11
2004,6
2005,14
2006,17
2007,7
2008,9
2009,11
2010,17
2011,12
2012,9
