year,Coleman
1880,12
1881,16
1882,18
1883,12
1884,14
1885,17
1886,11
1887,18
1888,17
1889,12
1890,15
1891,16
1892,21
1893,20
1894,14
1895,12
1896,18
1897,25
1898,19
1899,9
1900,26
1901,19
1902,17
1903,28
1904,28
1905,21
1906,15
1907,24
1908,21
1909,38
1910,40
1911,36
1912,69
1913,75
1914,102
1915,116
1916,120
1917,110
1918,133
1919,129
1920,112
1921,146
1922,112
1923,123
1924,107
1925,126
1926,130
1927,115
1928,108
1929,118
1930,108
1931,87
1932,92
1933,77
1934,116
1935,73
1936,93
1937,85
1938,89
1939,81
1940,88
1941,86
1942,68
1943,95
1944,85
1945,72
1946,94
1947,114
1948,103
1949,95
1950,89
1951,94
1952,81
1953,80
1954,87
1955,70
1956,98
1957,78
1958,75
1959,65
1960,65
1961,72
1962,75
1963,52
1964,53
1965,54
1966,45
1967,45
1968,67
1969,59
1970,52
1971,44
1972,47
1973,47
1974,59
1975,60
1976,48
1977,43
1978,62
1979,75
1980,76
1981,91
1982,122
1983,123
1984,120
1985,140
1986,150
1987,172
1988,137
1989,152
1990,166
1991,195
1992,254
1993,284
1994,303
1995,340
1996,344
1997,421
1998,391
1999,359
2000,388
2001,369
2002,399
2003,368
2004,331
2005,363
2006,347
2007,349
2008,306
2009,276
2010,273
2011,228
2012,255
