year,Colette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,8
1894,0
1895,6
1896,0
1897,5
1898,6
1899,8
1900,12
1901,9
1902,0
1903,5
1904,0
1905,0
1906,5
1907,13
1908,16
1909,16
1910,14
1911,17
1912,22
1913,22
1914,30
1915,21
1916,36
1917,30
1918,34
1919,24
1920,34
1921,34
1922,32
1923,45
1924,58
1925,49
1926,47
1927,38
1928,59
1929,64
1930,66
1931,65
1932,68
1933,82
1934,67
1935,85
1936,66
1937,79
1938,99
1939,70
1940,75
1941,90
1942,88
1943,108
1944,105
1945,77
1946,135
1947,166
1948,171
1949,188
1950,201
1951,265
1952,290
1953,348
1954,378
1955,375
1956,410
1957,434
1958,495
1959,471
1960,524
1961,487
1962,476
1963,494
1964,485
1965,446
1966,595
1967,467
1968,391
1969,395
1970,395
1971,357
1972,268
1973,262
1974,251
1975,230
1976,191
1977,191
1978,179
1979,171
1980,190
1981,161
1982,192
1983,177
1984,196
1985,244
1986,182
1987,146
1988,155
1989,147
1990,128
1991,138
1992,126
1993,134
1994,133
1995,166
1996,159
1997,142
1998,121
1999,179
2000,182
2001,181
2002,151
2003,135
2004,154
2005,150
2006,161
2007,152
2008,190
2009,208
2010,207
2011,238
2012,425
