year,Cash
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,6
1887,7
1888,0
1889,0
1890,0
1891,7
1892,0
1893,8
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,12
1914,8
1915,7
1916,6
1917,8
1918,7
1919,14
1920,5
1921,5
1922,0
1923,8
1924,6
1925,9
1926,5
1927,5
1928,8
1929,6
1930,5
1931,5
1932,8
1933,0
1934,6
1935,6
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,6
1945,0
1946,0
1947,0
1948,6
1949,7
1950,0
1951,0
1952,5
1953,9
1954,0
1955,5
1956,9
1957,8
1958,10
1959,7
1960,18
1961,25
1962,26
1963,18
1964,11
1965,7
1966,9
1967,8
1968,7
1969,9
1970,29
1971,22
1972,17
1973,19
1974,15
1975,11
1976,18
1977,13
1978,17
1979,16
1980,17
1981,18
1982,26
1983,22
1984,24
1985,29
1986,18
1987,42
1988,40
1989,35
1990,65
1991,44
1992,36
1993,43
1994,53
1995,56
1996,41
1997,44
1998,57
1999,67
2000,77
2001,86
2002,131
2003,166
2004,227
2005,308
2006,787
2007,975
2008,1386
2009,1384
2010,1325
2011,1314
2012,1317
