year,Clare
1880,23
1881,20
1882,29
1883,34
1884,48
1885,35
1886,35
1887,43
1888,55
1889,45
1890,40
1891,39
1892,66
1893,46
1894,73
1895,56
1896,72
1897,55
1898,67
1899,53
1900,73
1901,59
1902,72
1903,69
1904,71
1905,81
1906,72
1907,69
1908,84
1909,97
1910,112
1911,110
1912,164
1913,163
1914,244
1915,248
1916,300
1917,276
1918,341
1919,321
1920,340
1921,333
1922,320
1923,331
1924,302
1925,347
1926,324
1927,314
1928,309
1929,272
1930,290
1931,293
1932,294
1933,243
1934,236
1935,206
1936,208
1937,215
1938,193
1939,193
1940,201
1941,205
1942,205
1943,247
1944,257
1945,251
1946,280
1947,309
1948,253
1949,283
1950,298
1951,287
1952,268
1953,345
1954,281
1955,346
1956,290
1957,317
1958,355
1959,330
1960,336
1961,348
1962,331
1963,299
1964,251
1965,189
1966,177
1967,159
1968,131
1969,115
1970,123
1971,81
1972,78
1973,111
1974,104
1975,117
1976,121
1977,123
1978,128
1979,130
1980,131
1981,142
1982,183
1983,170
1984,210
1985,208
1986,211
1987,248
1988,252
1989,285
1990,338
1991,323
1992,323
1993,328
1994,355
1995,387
1996,450
1997,446
1998,510
1999,512
2000,484
2001,461
2002,433
2003,417
2004,419
2005,411
2006,438
2007,473
2008,452
2009,404
2010,419
2011,414
2012,379
