year,Columbus
1880,64
1881,51
1882,62
1883,49
1884,50
1885,41
1886,56
1887,40
1888,60
1889,40
1890,43
1891,39
1892,47
1893,43
1894,41
1895,42
1896,38
1897,34
1898,44
1899,40
1900,45
1901,28
1902,47
1903,31
1904,37
1905,37
1906,35
1907,39
1908,48
1909,50
1910,41
1911,53
1912,65
1913,103
1914,110
1915,135
1916,134
1917,145
1918,152
1919,164
1920,144
1921,151
1922,187
1923,178
1924,150
1925,155
1926,148
1927,139
1928,145
1929,129
1930,116
1931,111
1932,107
1933,105
1934,107
1935,94
1936,90
1937,109
1938,99
1939,92
1940,85
1941,97
1942,92
1943,95
1944,94
1945,74
1946,73
1947,90
1948,83
1949,83
1950,86
1951,73
1952,73
1953,64
1954,74
1955,70
1956,61
1957,61
1958,59
1959,56
1960,53
1961,57
1962,31
1963,32
1964,32
1965,38
1966,28
1967,32
1968,30
1969,28
1970,27
1971,33
1972,29
1973,30
1974,20
1975,17
1976,25
1977,22
1978,29
1979,16
1980,25
1981,18
1982,22
1983,17
1984,14
1985,12
1986,13
1987,12
1988,10
1989,16
1990,13
1991,12
1992,14
1993,13
1994,9
1995,9
1996,5
1997,13
1998,5
1999,10
2000,12
2001,6
2002,7
2003,6
2004,13
2005,0
2006,7
2007,8
2008,5
2009,5
2010,0
2011,9
2012,6
