year,Chas
1880,53
1881,39
1882,46
1883,38
1884,39
1885,37
1886,40
1887,38
1888,33
1889,32
1890,29
1891,18
1892,26
1893,20
1894,23
1895,16
1896,18
1897,21
1898,24
1899,13
1900,26
1901,20
1902,27
1903,19
1904,26
1905,13
1906,25
1907,28
1908,19
1909,16
1910,21
1911,25
1912,44
1913,41
1914,64
1915,99
1916,70
1917,72
1918,79
1919,66
1920,64
1921,47
1922,46
1923,34
1924,55
1925,56
1926,43
1927,42
1928,24
1929,10
1930,11
1931,10
1932,13
1933,0
1934,8
1935,9
1936,10
1937,8
1938,5
1939,5
1940,8
1941,0
1942,7
1943,10
1944,7
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,6
1958,0
1959,5
1960,0
1961,0
1962,5
1963,0
1964,0
1965,5
1966,0
1967,5
1968,0
1969,5
1970,8
1971,9
1972,19
1973,10
1974,11
1975,17
1976,17
1977,25
1978,24
1979,30
1980,32
1981,32
1982,28
1983,33
1984,57
1985,37
1986,39
1987,52
1988,69
1989,74
1990,56
1991,57
1992,44
1993,38
1994,40
1995,42
1996,33
1997,20
1998,21
1999,19
2000,37
2001,20
2002,20
2003,22
2004,10
2005,18
2006,14
2007,13
2008,12
2009,13
2010,16
2011,7
2012,10
