year,Corine
1880,8
1881,6
1882,12
1883,6
1884,13
1885,18
1886,24
1887,17
1888,25
1889,33
1890,28
1891,31
1892,45
1893,36
1894,45
1895,41
1896,44
1897,55
1898,59
1899,65
1900,109
1901,89
1902,99
1903,86
1904,97
1905,107
1906,101
1907,113
1908,117
1909,112
1910,156
1911,152
1912,181
1913,172
1914,245
1915,260
1916,291
1917,262
1918,324
1919,346
1920,376
1921,322
1922,349
1923,326
1924,368
1925,343
1926,339
1927,301
1928,264
1929,259
1930,239
1931,214
1932,252
1933,225
1934,221
1935,219
1936,215
1937,197
1938,168
1939,179
1940,181
1941,124
1942,150
1943,152
1944,136
1945,143
1946,127
1947,146
1948,144
1949,139
1950,119
1951,111
1952,107
1953,123
1954,99
1955,129
1956,106
1957,106
1958,114
1959,105
1960,110
1961,112
1962,74
1963,97
1964,72
1965,66
1966,69
1967,74
1968,57
1969,55
1970,65
1971,56
1972,50
1973,49
1974,44
1975,48
1976,53
1977,47
1978,83
1979,78
1980,86
1981,72
1982,60
1983,66
1984,60
1985,55
1986,40
1987,39
1988,51
1989,51
1990,63
1991,56
1992,52
1993,48
1994,34
1995,29
1996,28
1997,33
1998,30
1999,23
2000,16
2001,19
2002,23
2003,20
2004,22
2005,17
2006,17
2007,8
2008,9
2009,14
2010,10
2011,15
2012,10
