year,Chanie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,7
1894,0
1895,0
1896,7
1897,5
1898,6
1899,0
1900,10
1901,0
1902,0
1903,0
1904,0
1905,10
1906,7
1907,0
1908,0
1909,0
1910,0
1911,5
1912,6
1913,5
1914,5
1915,12
1916,10
1917,7
1918,8
1919,10
1920,7
1921,6
1922,14
1923,7
1924,0
1925,0
1926,5
1927,5
1928,0
1929,9
1930,7
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,7
1953,8
1954,6
1955,6
1956,5
1957,7
1958,12
1959,12
1960,5
1961,13
1962,6
1963,9
1964,5
1965,0
1966,9
1967,0
1968,0
1969,6
1970,7
1971,0
1972,0
1973,8
1974,0
1975,11
1976,6
1977,8
1978,10
1979,11
1980,13
1981,0
1982,15
1983,8
1984,15
1985,16
1986,13
1987,14
1988,15
1989,10
1990,17
1991,16
1992,19
1993,20
1994,15
1995,14
1996,20
1997,15
1998,18
1999,17
2000,14
2001,10
2002,13
2003,10
2004,22
2005,7
2006,12
2007,15
2008,8
2009,9
2010,15
2011,13
2012,14
