year,Candace
1880,0
1881,0
1882,8
1883,0
1884,7
1885,0
1886,0
1887,6
1888,6
1889,0
1890,6
1891,0
1892,0
1893,0
1894,13
1895,6
1896,0
1897,6
1898,0
1899,5
1900,9
1901,5
1902,0
1903,6
1904,0
1905,0
1906,0
1907,0
1908,0
1909,7
1910,6
1911,5
1912,13
1913,12
1914,5
1915,5
1916,19
1917,17
1918,14
1919,17
1920,18
1921,9
1922,15
1923,16
1924,11
1925,14
1926,11
1927,16
1928,8
1929,17
1930,7
1931,10
1932,14
1933,19
1934,6
1935,11
1936,14
1937,19
1938,20
1939,26
1940,31
1941,30
1942,129
1943,233
1944,307
1945,632
1946,1001
1947,1318
1948,1444
1949,1594
1950,1646
1951,1740
1952,1833
1953,1752
1954,1555
1955,1413
1956,1404
1957,1161
1958,846
1959,908
1960,843
1961,740
1962,809
1963,862
1964,836
1965,970
1966,1224
1967,1118
1968,1178
1969,1307
1970,1426
1971,1311
1972,1253
1973,1133
1974,1155
1975,1129
1976,1212
1977,1145
1978,1327
1979,1599
1980,2198
1981,2584
1982,2862
1983,2706
1984,2684
1985,2714
1986,2470
1987,2337
1988,2424
1989,2281
1990,2171
1991,1941
1992,1661
1993,1309
1994,1099
1995,967
1996,759
1997,625
1998,534
1999,463
2000,420
2001,338
2002,328
2003,341
2004,307
2005,269
2006,249
2007,253
2008,217
2009,198
2010,133
2011,141
2012,100
