year,Chrystal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,6
1896,6
1897,0
1898,0
1899,12
1900,6
1901,0
1902,15
1903,16
1904,6
1905,11
1906,8
1907,15
1908,21
1909,12
1910,13
1911,13
1912,21
1913,18
1914,24
1915,23
1916,30
1917,41
1918,26
1919,29
1920,34
1921,27
1922,29
1923,25
1924,21
1925,18
1926,26
1927,16
1928,13
1929,17
1930,19
1931,18
1932,22
1933,17
1934,16
1935,11
1936,11
1937,16
1938,8
1939,13
1940,16
1941,18
1942,24
1943,16
1944,17
1945,18
1946,26
1947,44
1948,31
1949,31
1950,32
1951,55
1952,54
1953,68
1954,85
1955,70
1956,71
1957,86
1958,102
1959,87
1960,112
1961,134
1962,104
1963,152
1964,166
1965,147
1966,157
1967,144
1968,175
1969,185
1970,232
1971,315
1972,330
1973,378
1974,417
1975,416
1976,495
1977,530
1978,704
1979,691
1980,672
1981,718
1982,792
1983,757
1984,644
1985,538
1986,404
1987,380
1988,359
1989,338
1990,304
1991,261
1992,231
1993,182
1994,156
1995,125
1996,111
1997,116
1998,105
1999,74
2000,76
2001,65
2002,72
2003,42
2004,48
2005,50
2006,56
2007,43
2008,37
2009,43
2010,30
2011,27
2012,32
