year,Celine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,6
1901,0
1902,9
1903,0
1904,0
1905,6
1906,7
1907,6
1908,0
1909,7
1910,0
1911,0
1912,7
1913,10
1914,12
1915,16
1916,0
1917,12
1918,16
1919,22
1920,18
1921,6
1922,12
1923,14
1924,19
1925,19
1926,31
1927,49
1928,48
1929,32
1930,28
1931,49
1932,47
1933,44
1934,28
1935,34
1936,28
1937,29
1938,40
1939,23
1940,32
1941,23
1942,27
1943,27
1944,23
1945,27
1946,34
1947,32
1948,45
1949,45
1950,27
1951,41
1952,39
1953,44
1954,47
1955,33
1956,37
1957,49
1958,76
1959,55
1960,53
1961,60
1962,70
1963,53
1964,60
1965,64
1966,42
1967,29
1968,33
1969,39
1970,41
1971,42
1972,34
1973,34
1974,29
1975,29
1976,29
1977,31
1978,37
1979,34
1980,38
1981,48
1982,32
1983,35
1984,50
1985,47
1986,36
1987,54
1988,41
1989,43
1990,52
1991,77
1992,121
1993,157
1994,247
1995,231
1996,271
1997,443
1998,565
1999,394
2000,357
2001,282
2002,302
2003,309
2004,317
2005,263
2006,241
2007,267
2008,248
2009,237
2010,231
2011,201
2012,269
