year,Chancey
1880,0
1881,0
1882,0
1883,5
1884,0
1885,5
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,5
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,8
1915,15
1916,16
1917,17
1918,12
1919,14
1920,9
1921,17
1922,11
1923,11
1924,11
1925,7
1926,17
1927,9
1928,0
1929,8
1930,7
1931,5
1932,10
1933,5
1934,0
1935,5
1936,0
1937,5
1938,13
1939,0
1940,9
1941,0
1942,9
1943,6
1944,0
1945,6
1946,0
1947,0
1948,7
1949,0
1950,9
1951,0
1952,5
1953,0
1954,0
1955,10
1956,0
1957,0
1958,0
1959,0
1960,7
1961,0
1962,0
1963,6
1964,5
1965,7
1966,11
1967,0
1968,5
1969,5
1970,15
1971,12
1972,9
1973,17
1974,23
1975,32
1976,27
1977,24
1978,69
1979,30
1980,49
1981,52
1982,44
1983,44
1984,60
1985,33
1986,28
1987,36
1988,35
1989,37
1990,44
1991,53
1992,38
1993,32
1994,45
1995,42
1996,25
1997,44
1998,34
1999,23
2000,27
2001,26
2002,20
2003,17
2004,22
2005,19
2006,14
2007,18
2008,0
2009,8
2010,17
2011,10
2012,8
