year,Chaney
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,6
1888,8
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,6
1896,5
1897,0
1898,0
1899,0
1900,6
1901,0
1902,5
1903,6
1904,6
1905,9
1906,6
1907,8
1908,0
1909,0
1910,0
1911,5
1912,7
1913,6
1914,6
1915,18
1916,7
1917,0
1918,5
1919,0
1920,7
1921,9
1922,0
1923,0
1924,11
1925,0
1926,0
1927,0
1928,0
1929,0
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,7
1943,0
1944,0
1945,0
1946,7
1947,0
1948,0
1949,0
1950,7
1951,5
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,6
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,11
1967,5
1968,0
1969,6
1970,8
1971,9
1972,15
1973,8
1974,18
1975,15
1976,11
1977,24
1978,17
1979,24
1980,25
1981,22
1982,19
1983,10
1984,17
1985,20
1986,25
1987,22
1988,27
1989,27
1990,38
1991,55
1992,49
1993,43
1994,44
1995,40
1996,47
1997,43
1998,64
1999,43
2000,62
2001,72
2002,45
2003,77
2004,46
2005,46
2006,39
2007,28
2008,17
2009,30
2010,21
2011,24
2012,16
