year,Collette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,8
1911,6
1912,9
1913,10
1914,10
1915,15
1916,15
1917,9
1918,17
1919,15
1920,16
1921,9
1922,17
1923,11
1924,8
1925,17
1926,31
1927,37
1928,31
1929,33
1930,26
1931,29
1932,43
1933,42
1934,37
1935,38
1936,42
1937,36
1938,39
1939,40
1940,35
1941,30
1942,34
1943,44
1944,42
1945,43
1946,35
1947,58
1948,61
1949,84
1950,76
1951,97
1952,115
1953,86
1954,100
1955,105
1956,100
1957,130
1958,149
1959,158
1960,175
1961,155
1962,155
1963,150
1964,129
1965,133
1966,189
1967,161
1968,137
1969,155
1970,156
1971,150
1972,132
1973,95
1974,96
1975,83
1976,79
1977,79
1978,81
1979,67
1980,76
1981,62
1982,79
1983,73
1984,70
1985,80
1986,92
1987,82
1988,78
1989,82
1990,79
1991,68
1992,48
1993,41
1994,45
1995,60
1996,41
1997,47
1998,46
1999,42
2000,53
2001,40
2002,43
2003,41
2004,32
2005,28
2006,39
2007,43
2008,33
2009,39
2010,49
2011,40
2012,64
