year,Charity
1880,29
1881,22
1882,30
1883,29
1884,31
1885,21
1886,38
1887,40
1888,47
1889,36
1890,53
1891,37
1892,35
1893,31
1894,41
1895,40
1896,39
1897,43
1898,50
1899,31
1900,44
1901,34
1902,34
1903,32
1904,44
1905,46
1906,53
1907,47
1908,50
1909,32
1910,44
1911,46
1912,55
1913,68
1914,59
1915,75
1916,79
1917,73
1918,75
1919,84
1920,63
1921,57
1922,57
1923,53
1924,70
1925,62
1926,51
1927,66
1928,53
1929,41
1930,41
1931,47
1932,48
1933,24
1934,30
1935,46
1936,34
1937,33
1938,40
1939,42
1940,42
1941,44
1942,42
1943,51
1944,39
1945,36
1946,49
1947,53
1948,48
1949,53
1950,55
1951,54
1952,50
1953,56
1954,38
1955,43
1956,57
1957,59
1958,51
1959,56
1960,69
1961,106
1962,82
1963,77
1964,74
1965,86
1966,99
1967,94
1968,115
1969,234
1970,342
1971,342
1972,583
1973,957
1974,1408
1975,1429
1976,1208
1977,1196
1978,1071
1979,1203
1980,1061
1981,970
1982,858
1983,814
1984,790
1985,917
1986,861
1987,741
1988,648
1989,568
1990,536
1991,552
1992,485
1993,515
1994,483
1995,495
1996,488
1997,464
1998,476
1999,482
2000,605
2001,574
2002,543
2003,534
2004,504
2005,421
2006,432
2007,436
2008,367
2009,314
2010,313
2011,307
2012,272
