year,Constantine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,5
1909,7
1910,11
1911,16
1912,37
1913,43
1914,53
1915,86
1916,72
1917,72
1918,98
1919,96
1920,93
1921,82
1922,99
1923,95
1924,92
1925,88
1926,79
1927,70
1928,64
1929,78
1930,78
1931,78
1932,54
1933,47
1934,29
1935,42
1936,38
1937,33
1938,27
1939,30
1940,29
1941,33
1942,38
1943,31
1944,26
1945,23
1946,27
1947,25
1948,33
1949,16
1950,19
1951,32
1952,45
1953,34
1954,36
1955,29
1956,47
1957,36
1958,41
1959,31
1960,31
1961,26
1962,43
1963,49
1964,47
1965,56
1966,68
1967,67
1968,69
1969,55
1970,67
1971,47
1972,40
1973,53
1974,58
1975,46
1976,42
1977,46
1978,40
1979,37
1980,49
1981,41
1982,61
1983,40
1984,36
1985,43
1986,36
1987,45
1988,49
1989,29
1990,46
1991,43
1992,37
1993,47
1994,42
1995,41
1996,49
1997,55
1998,55
1999,45
2000,39
2001,41
2002,46
2003,46
2004,56
2005,87
2006,88
2007,114
2008,105
2009,82
2010,105
2011,91
2012,106
