year,Zeno
1880,0
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,9
1891,0
1892,0
1893,6
1894,9
1895,0
1896,6
1897,6
1898,0
1899,0
1900,5
1901,0
1902,12
1903,0
1904,0
1905,9
1906,0
1907,5
1908,5
1909,0
1910,6
1911,0
1912,10
1913,11
1914,14
1915,24
1916,21
1917,12
1918,24
1919,19
1920,24
1921,19
1922,23
1923,9
1924,16
1925,15
1926,22
1927,13
1928,19
1929,14
1930,19
1931,7
1932,14
1933,14
1934,6
1935,16
1936,10
1937,10
1938,11
1939,10
1940,10
1941,8
1942,7
1943,8
1944,5
1945,7
1946,7
1947,13
1948,0
1949,8
1950,6
1951,12
1952,13
1953,10
1954,8
1955,8
1956,10
1957,8
1958,10
1959,15
1960,6
1961,8
1962,11
1963,9
1964,5
1965,8
1966,9
1967,5
1968,6
1969,8
1970,0
1971,5
1972,7
1973,0
1974,8
1975,7
1976,6
1977,8
1978,0
1979,0
1980,6
1981,7
1982,9
1983,0
1984,5
1985,9
1986,6
1987,6
1988,0
1989,5
1990,8
1991,7
1992,0
1993,7
1994,8
1995,7
1996,7
1997,9
1998,10
1999,0
2000,6
2001,8
2002,6
2003,5
2004,12
2005,8
2006,11
2007,5
2008,18
2009,7
2010,12
2011,13
2012,15
