year,Zoe
1880,23
1881,22
1882,25
1883,23
1884,31
1885,27
1886,25
1887,34
1888,42
1889,29
1890,42
1891,34
1892,34
1893,23
1894,28
1895,34
1896,36
1897,35
1898,30
1899,27
1900,26
1901,26
1902,34
1903,19
1904,27
1905,24
1906,19
1907,19
1908,23
1909,22
1910,34
1911,30
1912,37
1913,28
1914,37
1915,57
1916,65
1917,57
1918,68
1919,53
1920,80
1921,90
1922,64
1923,61
1924,74
1925,73
1926,58
1927,57
1928,64
1929,73
1930,54
1931,77
1932,86
1933,79
1934,79
1935,90
1936,78
1937,72
1938,65
1939,55
1940,54
1941,60
1942,53
1943,40
1944,48
1945,45
1946,66
1947,54
1948,68
1949,81
1950,67
1951,96
1952,100
1953,96
1954,118
1955,120
1956,92
1957,143
1958,151
1959,126
1960,119
1961,123
1962,97
1963,81
1964,79
1965,78
1966,118
1967,82
1968,86
1969,90
1970,141
1971,121
1972,96
1973,127
1974,106
1975,126
1976,96
1977,126
1978,94
1979,108
1980,107
1981,110
1982,139
1983,174
1984,201
1985,194
1986,218
1987,247
1988,245
1989,386
1990,487
1991,736
1992,996
1993,1210
1994,1341
1995,1746
1996,2071
1997,2375
1998,2702
1999,3251
2000,3794
2001,4660
2002,4899
2003,5097
2004,5387
2005,4973
2006,5166
2007,4942
2008,4790
2009,5151
2010,6278
2011,6301
2012,6438
