year,Zenia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,9
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,9
1913,7
1914,6
1915,11
1916,8
1917,7
1918,7
1919,10
1920,8
1921,8
1922,10
1923,15
1924,7
1925,7
1926,13
1927,8
1928,8
1929,7
1930,7
1931,8
1932,6
1933,7
1934,6
1935,0
1936,7
1937,0
1938,6
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,7
1948,0
1949,0
1950,5
1951,0
1952,7
1953,6
1954,10
1955,9
1956,9
1957,7
1958,7
1959,0
1960,5
1961,0
1962,10
1963,24
1964,15
1965,26
1966,15
1967,10
1968,10
1969,14
1970,11
1971,18
1972,20
1973,31
1974,23
1975,22
1976,21
1977,19
1978,16
1979,19
1980,36
1981,21
1982,19
1983,23
1984,20
1985,15
1986,31
1987,33
1988,43
1989,36
1990,35
1991,36
1992,34
1993,27
1994,38
1995,24
1996,27
1997,25
1998,28
1999,15
2000,25
2001,23
2002,31
2003,26
2004,21
2005,26
2006,14
2007,24
2008,19
2009,21
2010,18
2011,35
2012,14
