year,Zelma
1880,19
1881,17
1882,21
1883,16
1884,29
1885,18
1886,32
1887,27
1888,42
1889,43
1890,52
1891,63
1892,56
1893,57
1894,77
1895,80
1896,82
1897,104
1898,104
1899,120
1900,131
1901,127
1902,189
1903,182
1904,198
1905,161
1906,188
1907,212
1908,199
1909,240
1910,220
1911,268
1912,307
1913,342
1914,373
1915,492
1916,471
1917,487
1918,479
1919,494
1920,448
1921,457
1922,476
1923,447
1924,422
1925,431
1926,362
1927,382
1928,377
1929,347
1930,375
1931,284
1932,303
1933,230
1934,280
1935,237
1936,185
1937,196
1938,193
1939,185
1940,190
1941,148
1942,181
1943,178
1944,157
1945,168
1946,143
1947,146
1948,115
1949,149
1950,121
1951,104
1952,95
1953,106
1954,120
1955,105
1956,95
1957,77
1958,83
1959,81
1960,62
1961,64
1962,58
1963,41
1964,44
1965,42
1966,43
1967,25
1968,28
1969,20
1970,18
1971,24
1972,17
1973,27
1974,15
1975,18
1976,12
1977,8
1978,10
1979,14
1980,7
1981,14
1982,8
1983,10
1984,0
1985,10
1986,9
1987,6
1988,7
1989,7
1990,0
1991,6
1992,8
1993,0
1994,10
1995,0
1996,8
1997,5
1998,7
1999,7
2000,6
2001,0
2002,5
2003,0
2004,0
2005,8
2006,8
2007,5
2008,8
2009,5
2010,8
2011,5
2012,5
