year,Zelia
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,11
1888,10
1889,7
1890,11
1891,0
1892,7
1893,10
1894,12
1895,10
1896,7
1897,6
1898,15
1899,18
1900,9
1901,12
1902,8
1903,5
1904,8
1905,5
1906,6
1907,7
1908,10
1909,9
1910,14
1911,6
1912,17
1913,23
1914,11
1915,20
1916,15
1917,10
1918,23
1919,19
1920,10
1921,20
1922,18
1923,15
1924,19
1925,11
1926,17
1927,12
1928,9
1929,12
1930,7
1931,13
1932,9
1933,6
1934,7
1935,5
1936,0
1937,6
1938,5
1939,5
1940,11
1941,6
1942,7
1943,0
1944,7
1945,0
1946,6
1947,8
1948,0
1949,0
1950,5
1951,6
1952,0
1953,7
1954,7
1955,8
1956,5
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,5
1964,5
1965,8
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,6
1973,5
1974,0
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,8
1997,5
1998,0
1999,6
2000,7
2001,6
2002,6
2003,14
2004,5
2005,16
2006,14
2007,12
2008,21
2009,22
2010,17
2011,12
2012,18
