year,Zola
1880,7
1881,10
1882,9
1883,10
1884,14
1885,12
1886,8
1887,23
1888,23
1889,22
1890,32
1891,29
1892,27
1893,34
1894,51
1895,60
1896,47
1897,51
1898,62
1899,49
1900,48
1901,56
1902,58
1903,64
1904,46
1905,66
1906,59
1907,53
1908,70
1909,59
1910,79
1911,78
1912,113
1913,114
1914,101
1915,148
1916,173
1917,142
1918,176
1919,172
1920,180
1921,171
1922,176
1923,150
1924,184
1925,154
1926,124
1927,116
1928,129
1929,119
1930,110
1931,83
1932,74
1933,94
1934,109
1935,54
1936,53
1937,85
1938,74
1939,76
1940,61
1941,65
1942,46
1943,63
1944,54
1945,38
1946,42
1947,49
1948,38
1949,58
1950,32
1951,32
1952,32
1953,36
1954,42
1955,36
1956,44
1957,27
1958,25
1959,42
1960,22
1961,24
1962,19
1963,12
1964,9
1965,16
1966,15
1967,12
1968,11
1969,9
1970,15
1971,15
1972,10
1973,11
1974,10
1975,7
1976,6
1977,7
1978,13
1979,6
1980,5
1981,5
1982,0
1983,6
1984,0
1985,9
1986,8
1987,5
1988,5
1989,8
1990,0
1991,9
1992,5
1993,8
1994,15
1995,7
1996,9
1997,6
1998,10
1999,21
2000,26
2001,28
2002,18
2003,31
2004,23
2005,35
2006,54
2007,46
2008,48
2009,50
2010,44
2011,57
2012,94
