year,Zita
1880,0
1881,0
1882,6
1883,0
1884,11
1885,0
1886,0
1887,11
1888,0
1889,14
1890,7
1891,6
1892,11
1893,10
1894,14
1895,14
1896,14
1897,11
1898,18
1899,12
1900,20
1901,17
1902,14
1903,17
1904,9
1905,17
1906,16
1907,15
1908,23
1909,16
1910,12
1911,13
1912,26
1913,19
1914,41
1915,56
1916,57
1917,65
1918,65
1919,49
1920,47
1921,67
1922,69
1923,61
1924,47
1925,54
1926,46
1927,59
1928,43
1929,51
1930,52
1931,44
1932,34
1933,52
1934,32
1935,30
1936,26
1937,33
1938,35
1939,30
1940,23
1941,25
1942,28
1943,22
1944,19
1945,22
1946,22
1947,29
1948,32
1949,19
1950,23
1951,23
1952,25
1953,38
1954,36
1955,34
1956,22
1957,31
1958,29
1959,31
1960,26
1961,24
1962,23
1963,26
1964,18
1965,27
1966,12
1967,13
1968,15
1969,11
1970,19
1971,25
1972,21
1973,13
1974,25
1975,20
1976,12
1977,7
1978,12
1979,10
1980,8
1981,11
1982,12
1983,5
1984,10
1985,6
1986,5
1987,0
1988,0
1989,9
1990,11
1991,10
1992,5
1993,9
1994,9
1995,10
1996,7
1997,5
1998,0
1999,5
2000,14
2001,11
2002,0
2003,10
2004,12
2005,15
2006,13
2007,8
2008,7
2009,10
2010,7
2011,11
2012,8
