year,Zara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,5
1900,9
1901,0
1902,0
1903,0
1904,6
1905,6
1906,0
1907,0
1908,8
1909,0
1910,9
1911,9
1912,11
1913,10
1914,12
1915,21
1916,9
1917,11
1918,9
1919,11
1920,11
1921,14
1922,11
1923,8
1924,12
1925,14
1926,10
1927,8
1928,10
1929,9
1930,0
1931,5
1932,8
1933,8
1934,8
1935,5
1936,0
1937,6
1938,11
1939,8
1940,11
1941,0
1942,13
1943,7
1944,7
1945,6
1946,12
1947,10
1948,0
1949,10
1950,5
1951,0
1952,7
1953,8
1954,11
1955,9
1956,13
1957,5
1958,5
1959,5
1960,7
1961,8
1962,9
1963,6
1964,8
1965,0
1966,6
1967,6
1968,0
1969,10
1970,19
1971,15
1972,19
1973,16
1974,17
1975,26
1976,17
1977,18
1978,26
1979,28
1980,31
1981,27
1982,26
1983,42
1984,24
1985,31
1986,47
1987,37
1988,38
1989,50
1990,65
1991,53
1992,48
1993,52
1994,74
1995,64
1996,80
1997,70
1998,90
1999,111
2000,121
2001,141
2002,145
2003,222
2004,179
2005,270
2006,312
2007,407
2008,376
2009,367
2010,392
2011,444
2012,535
