year,Zora
1880,28
1881,21
1882,32
1883,35
1884,58
1885,48
1886,52
1887,46
1888,42
1889,53
1890,60
1891,52
1892,66
1893,72
1894,66
1895,55
1896,72
1897,67
1898,65
1899,56
1900,99
1901,58
1902,58
1903,83
1904,54
1905,55
1906,64
1907,92
1908,59
1909,57
1910,57
1911,82
1912,99
1913,90
1914,120
1915,174
1916,152
1917,135
1918,134
1919,123
1920,135
1921,137
1922,128
1923,130
1924,121
1925,114
1926,93
1927,92
1928,81
1929,72
1930,93
1931,73
1932,70
1933,57
1934,72
1935,62
1936,59
1937,49
1938,61
1939,55
1940,49
1941,52
1942,39
1943,45
1944,51
1945,41
1946,38
1947,36
1948,49
1949,34
1950,32
1951,35
1952,35
1953,47
1954,24
1955,34
1956,24
1957,30
1958,19
1959,11
1960,19
1961,20
1962,14
1963,19
1964,7
1965,15
1966,7
1967,15
1968,11
1969,10
1970,0
1971,14
1972,12
1973,9
1974,14
1975,10
1976,7
1977,10
1978,8
1979,9
1980,13
1981,7
1982,10
1983,0
1984,0
1985,7
1986,9
1987,7
1988,0
1989,10
1990,8
1991,12
1992,14
1993,15
1994,15
1995,24
1996,16
1997,25
1998,20
1999,26
2000,32
2001,65
2002,62
2003,117
2004,102
2005,98
2006,98
2007,103
2008,112
2009,87
2010,86
2011,94
2012,109
