year,Zada
1880,13
1881,8
1882,9
1883,11
1884,11
1885,7
1886,12
1887,12
1888,16
1889,12
1890,9
1891,17
1892,15
1893,15
1894,21
1895,11
1896,15
1897,29
1898,19
1899,14
1900,25
1901,15
1902,17
1903,21
1904,17
1905,17
1906,20
1907,16
1908,21
1909,18
1910,35
1911,17
1912,30
1913,28
1914,19
1915,37
1916,44
1917,41
1918,33
1919,37
1920,37
1921,36
1922,25
1923,42
1924,30
1925,43
1926,38
1927,29
1928,36
1929,28
1930,34
1931,22
1932,32
1933,15
1934,22
1935,27
1936,25
1937,20
1938,15
1939,22
1940,25
1941,8
1942,20
1943,13
1944,17
1945,13
1946,10
1947,12
1948,11
1949,12
1950,11
1951,10
1952,12
1953,8
1954,14
1955,5
1956,5
1957,0
1958,10
1959,10
1960,0
1961,0
1962,0
1963,9
1964,0
1965,0
1966,5
1967,0
1968,0
1969,5
1970,6
1971,0
1972,0
1973,0
1974,0
1975,6
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,8
1993,5
1994,5
1995,10
1996,16
1997,13
1998,19
1999,28
2000,41
2001,70
2002,70
2003,62
2004,69
2005,95
2006,95
2007,69
2008,69
2009,63
2010,52
2011,72
2012,62
