year,Zina
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,7
1887,0
1888,0
1889,0
1890,8
1891,0
1892,11
1893,6
1894,12
1895,8
1896,6
1897,8
1898,7
1899,8
1900,8
1901,11
1902,6
1903,9
1904,8
1905,0
1906,6
1907,0
1908,9
1909,13
1910,6
1911,5
1912,0
1913,5
1914,16
1915,14
1916,22
1917,24
1918,21
1919,17
1920,24
1921,21
1922,18
1923,12
1924,15
1925,13
1926,19
1927,14
1928,12
1929,19
1930,15
1931,18
1932,15
1933,15
1934,13
1935,13
1936,8
1937,12
1938,11
1939,15
1940,13
1941,14
1942,15
1943,15
1944,10
1945,10
1946,17
1947,15
1948,9
1949,8
1950,14
1951,19
1952,27
1953,31
1954,35
1955,39
1956,48
1957,49
1958,48
1959,52
1960,60
1961,54
1962,117
1963,678
1964,798
1965,363
1966,165
1967,113
1968,57
1969,47
1970,55
1971,47
1972,53
1973,40
1974,25
1975,22
1976,20
1977,16
1978,28
1979,31
1980,28
1981,27
1982,22
1983,20
1984,27
1985,26
1986,23
1987,20
1988,22
1989,35
1990,53
1991,29
1992,21
1993,29
1994,17
1995,26
1996,26
1997,25
1998,17
1999,18
2000,23
2001,23
2002,20
2003,14
2004,20
2005,15
2006,26
2007,29
2008,21
2009,19
2010,20
2011,29
2012,25
