year,Huston
1880,8
1881,0
1882,6
1883,0
1884,8
1885,0
1886,0
1887,0
1888,9
1889,5
1890,5
1891,0
1892,6
1893,6
1894,0
1895,7
1896,5
1897,5
1898,5
1899,10
1900,8
1901,7
1902,6
1903,10
1904,7
1905,9
1906,15
1907,14
1908,18
1909,7
1910,9
1911,18
1912,13
1913,26
1914,33
1915,30
1916,49
1917,49
1918,52
1919,49
1920,42
1921,49
1922,60
1923,45
1924,46
1925,45
1926,48
1927,44
1928,45
1929,51
1930,43
1931,37
1932,31
1933,41
1934,45
1935,36
1936,41
1937,37
1938,27
1939,39
1940,41
1941,27
1942,27
1943,27
1944,38
1945,22
1946,29
1947,29
1948,16
1949,23
1950,17
1951,23
1952,25
1953,17
1954,24
1955,22
1956,11
1957,16
1958,12
1959,7
1960,10
1961,10
1962,5
1963,12
1964,16
1965,12
1966,9
1967,10
1968,11
1969,11
1970,9
1971,10
1972,0
1973,9
1974,15
1975,10
1976,6
1977,0
1978,0
1979,7
1980,5
1981,7
1982,7
1983,8
1984,7
1985,10
1986,11
1987,16
1988,18
1989,14
1990,17
1991,15
1992,16
1993,15
1994,17
1995,25
1996,17
1997,28
1998,9
1999,20
2000,13
2001,12
2002,30
2003,20
2004,20
2005,29
2006,24
2007,21
2008,23
2009,19
2010,23
2011,18
2012,15
