year,Hayes
1880,8
1881,5
1882,7
1883,11
1884,0
1885,13
1886,8
1887,6
1888,9
1889,0
1890,0
1891,7
1892,7
1893,8
1894,6
1895,8
1896,14
1897,8
1898,10
1899,0
1900,15
1901,9
1902,12
1903,5
1904,7
1905,20
1906,12
1907,11
1908,12
1909,21
1910,12
1911,15
1912,15
1913,25
1914,37
1915,41
1916,35
1917,45
1918,37
1919,49
1920,37
1921,49
1922,49
1923,42
1924,37
1925,51
1926,42
1927,32
1928,30
1929,31
1930,30
1931,45
1932,27
1933,32
1934,27
1935,26
1936,24
1937,24
1938,31
1939,32
1940,29
1941,26
1942,34
1943,24
1944,29
1945,35
1946,34
1947,30
1948,37
1949,23
1950,32
1951,32
1952,32
1953,24
1954,25
1955,20
1956,21
1957,28
1958,19
1959,17
1960,29
1961,18
1962,22
1963,11
1964,18
1965,15
1966,15
1967,14
1968,13
1969,12
1970,17
1971,45
1972,31
1973,22
1974,19
1975,21
1976,20
1977,18
1978,16
1979,16
1980,17
1981,18
1982,9
1983,20
1984,19
1985,16
1986,23
1987,23
1988,21
1989,16
1990,23
1991,31
1992,33
1993,33
1994,40
1995,49
1996,41
1997,57
1998,61
1999,55
2000,84
2001,67
2002,76
2003,100
2004,89
2005,114
2006,144
2007,155
2008,159
2009,220
2010,230
2011,304
2012,363
