year,Hal
1880,7
1881,12
1882,26
1883,20
1884,25
1885,15
1886,18
1887,23
1888,20
1889,12
1890,21
1891,17
1892,17
1893,26
1894,23
1895,20
1896,19
1897,20
1898,28
1899,20
1900,25
1901,19
1902,25
1903,23
1904,21
1905,20
1906,23
1907,30
1908,19
1909,24
1910,31
1911,43
1912,60
1913,81
1914,115
1915,152
1916,133
1917,125
1918,171
1919,162
1920,193
1921,177
1922,172
1923,158
1924,189
1925,190
1926,191
1927,189
1928,193
1929,194
1930,154
1931,165
1932,194
1933,188
1934,205
1935,201
1936,148
1937,191
1938,162
1939,202
1940,196
1941,194
1942,204
1943,208
1944,213
1945,211
1946,264
1947,361
1948,358
1949,406
1950,370
1951,388
1952,391
1953,406
1954,417
1955,454
1956,597
1957,526
1958,456
1959,418
1960,403
1961,339
1962,230
1963,278
1964,199
1965,199
1966,170
1967,151
1968,124
1969,105
1970,125
1971,125
1972,115
1973,97
1974,85
1975,79
1976,68
1977,59
1978,64
1979,72
1980,74
1981,56
1982,53
1983,52
1984,41
1985,59
1986,65
1987,33
1988,55
1989,43
1990,31
1991,38
1992,32
1993,36
1994,21
1995,20
1996,23
1997,26
1998,21
1999,14
2000,23
2001,18
2002,22
2003,26
2004,9
2005,8
2006,14
2007,15
2008,9
2009,12
2010,10
2011,15
2012,19
