year,Horatio
1880,15
1881,7
1882,6
1883,5
1884,0
1885,5
1886,6
1887,6
1888,0
1889,0
1890,6
1891,0
1892,0
1893,6
1894,6
1895,5
1896,6
1897,0
1898,5
1899,9
1900,6
1901,0
1902,0
1903,0
1904,0
1905,5
1906,7
1907,0
1908,0
1909,6
1910,0
1911,0
1912,12
1913,17
1914,20
1915,15
1916,19
1917,11
1918,20
1919,14
1920,21
1921,19
1922,21
1923,15
1924,18
1925,14
1926,13
1927,6
1928,14
1929,10
1930,13
1931,9
1932,10
1933,11
1934,0
1935,0
1936,12
1937,6
1938,6
1939,10
1940,5
1941,0
1942,0
1943,11
1944,0
1945,0
1946,0
1947,10
1948,10
1949,8
1950,8
1951,18
1952,8
1953,13
1954,7
1955,9
1956,0
1957,11
1958,10
1959,14
1960,6
1961,14
1962,7
1963,9
1964,0
1965,17
1966,7
1967,12
1968,9
1969,8
1970,16
1971,17
1972,12
1973,19
1974,24
1975,13
1976,20
1977,14
1978,17
1979,11
1980,13
1981,15
1982,13
1983,14
1984,8
1985,9
1986,13
1987,12
1988,17
1989,18
1990,8
1991,14
1992,5
1993,11
1994,7
1995,5
1996,7
1997,13
1998,11
1999,8
2000,7
2001,8
2002,9
2003,10
2004,12
2005,22
2006,9
2007,40
2008,28
2009,28
2010,29
2011,10
2012,11
