year,Herlinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,7
1894,9
1895,5
1896,0
1897,0
1898,6
1899,0
1900,6
1901,5
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,5
1909,8
1910,9
1911,10
1912,6
1913,16
1914,9
1915,31
1916,26
1917,30
1918,32
1919,41
1920,37
1921,39
1922,52
1923,47
1924,45
1925,40
1926,34
1927,57
1928,43
1929,51
1930,56
1931,36
1932,50
1933,32
1934,41
1935,41
1936,37
1937,39
1938,28
1939,36
1940,39
1941,45
1942,51
1943,49
1944,75
1945,56
1946,77
1947,95
1948,83
1949,97
1950,102
1951,93
1952,126
1953,124
1954,87
1955,99
1956,71
1957,67
1958,82
1959,80
1960,64
1961,72
1962,63
1963,54
1964,57
1965,52
1966,45
1967,50
1968,41
1969,52
1970,42
1971,30
1972,31
1973,34
1974,44
1975,31
1976,30
1977,27
1978,29
1979,31
1980,39
1981,29
1982,24
1983,34
1984,22
1985,35
1986,20
1987,19
1988,26
1989,23
1990,32
1991,24
1992,26
1993,30
1994,24
1995,12
1996,24
1997,23
1998,15
1999,14
2000,31
2001,13
2002,21
2003,11
2004,20
2005,14
2006,17
2007,13
2008,16
2009,11
2010,8
2011,15
2012,6
