year,Hank
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,6
1910,0
1911,5
1912,0
1913,0
1914,5
1915,6
1916,7
1917,0
1918,8
1919,7
1920,9
1921,9
1922,13
1923,16
1924,20
1925,6
1926,11
1927,21
1928,9
1929,10
1930,13
1931,17
1932,16
1933,17
1934,9
1935,21
1936,24
1937,22
1938,18
1939,28
1940,26
1941,22
1942,32
1943,40
1944,30
1945,40
1946,62
1947,76
1948,71
1949,65
1950,84
1951,103
1952,108
1953,155
1954,173
1955,120
1956,168
1957,154
1958,148
1959,159
1960,156
1961,152
1962,150
1963,177
1964,186
1965,187
1966,160
1967,148
1968,134
1969,118
1970,154
1971,111
1972,107
1973,106
1974,117
1975,96
1976,76
1977,83
1978,63
1979,71
1980,94
1981,100
1982,83
1983,111
1984,96
1985,87
1986,93
1987,108
1988,99
1989,99
1990,95
1991,95
1992,115
1993,88
1994,67
1995,86
1996,73
1997,84
1998,89
1999,56
2000,82
2001,79
2002,73
2003,89
2004,134
2005,141
2006,135
2007,158
2008,181
2009,169
2010,266
2011,336
2012,345
