year,Hilliard
1880,10
1881,5
1882,6
1883,11
1884,7
1885,5
1886,8
1887,0
1888,13
1889,8
1890,8
1891,0
1892,10
1893,5
1894,9
1895,0
1896,16
1897,6
1898,8
1899,8
1900,10
1901,0
1902,8
1903,8
1904,10
1905,13
1906,7
1907,11
1908,14
1909,12
1910,11
1911,13
1912,28
1913,25
1914,35
1915,43
1916,24
1917,44
1918,48
1919,51
1920,53
1921,40
1922,45
1923,47
1924,37
1925,25
1926,40
1927,45
1928,47
1929,29
1930,20
1931,20
1932,31
1933,20
1934,32
1935,23
1936,24
1937,29
1938,21
1939,10
1940,19
1941,24
1942,18
1943,29
1944,23
1945,19
1946,20
1947,27
1948,28
1949,34
1950,18
1951,11
1952,19
1953,30
1954,21
1955,14
1956,21
1957,20
1958,15
1959,13
1960,10
1961,10
1962,14
1963,9
1964,12
1965,11
1966,16
1967,14
1968,12
1969,13
1970,8
1971,8
1972,6
1973,10
1974,8
1975,5
1976,0
1977,6
1978,0
1979,5
1980,10
1981,8
1982,6
1983,0
1984,0
1985,7
1986,6
1987,0
1988,6
1989,7
1990,8
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
