year,Harlin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,14
1913,10
1914,23
1915,19
1916,27
1917,19
1918,25
1919,30
1920,14
1921,40
1922,36
1923,37
1924,45
1925,32
1926,24
1927,37
1928,41
1929,26
1930,40
1931,33
1932,31
1933,28
1934,31
1935,27
1936,28
1937,32
1938,30
1939,25
1940,29
1941,31
1942,15
1943,20
1944,29
1945,14
1946,21
1947,30
1948,24
1949,24
1950,16
1951,19
1952,17
1953,12
1954,11
1955,19
1956,15
1957,16
1958,9
1959,15
1960,12
1961,14
1962,16
1963,9
1964,11
1965,13
1966,8
1967,8
1968,5
1969,8
1970,0
1971,14
1972,9
1973,10
1974,0
1975,5
1976,6
1977,5
1978,7
1979,0
1980,0
1981,5
1982,0
1983,0
1984,5
1985,10
1986,0
1987,8
1988,5
1989,7
1990,5
1991,9
1992,0
1993,7
1994,7
1995,10
1996,7
1997,8
1998,0
1999,5
2000,0
2001,12
2002,0
2003,8
2004,6
2005,8
2006,10
2007,9
2008,15
2009,25
2010,17
2011,16
2012,12
