year,Houston
1880,16
1881,11
1882,17
1883,16
1884,15
1885,13
1886,24
1887,16
1888,23
1889,11
1890,13
1891,20
1892,14
1893,17
1894,18
1895,22
1896,29
1897,20
1898,18
1899,14
1900,33
1901,31
1902,30
1903,27
1904,27
1905,28
1906,24
1907,32
1908,39
1909,34
1910,41
1911,34
1912,58
1913,83
1914,106
1915,145
1916,158
1917,154
1918,167
1919,171
1920,174
1921,170
1922,164
1923,147
1924,172
1925,154
1926,157
1927,153
1928,150
1929,138
1930,126
1931,123
1932,134
1933,105
1934,110
1935,95
1936,100
1937,95
1938,120
1939,87
1940,126
1941,112
1942,117
1943,108
1944,111
1945,97
1946,105
1947,121
1948,96
1949,100
1950,89
1951,99
1952,97
1953,101
1954,90
1955,83
1956,85
1957,70
1958,72
1959,53
1960,50
1961,58
1962,52
1963,70
1964,74
1965,73
1966,51
1967,79
1968,73
1969,55
1970,62
1971,59
1972,42
1973,39
1974,36
1975,47
1976,47
1977,40
1978,56
1979,56
1980,63
1981,69
1982,80
1983,88
1984,107
1985,94
1986,133
1987,177
1988,179
1989,198
1990,208
1991,231
1992,203
1993,217
1994,286
1995,278
1996,278
1997,261
1998,240
1999,219
2000,222
2001,205
2002,197
2003,215
2004,223
2005,228
2006,249
2007,262
2008,250
2009,225
2010,243
2011,210
2012,220
